SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
42023,1610612748,MIA,Miami Heat,0042300105,2024-05-01,MIA @ BOS,L,239,84,36,87,0.414,3,29,0.103,9,10,0.9,2,27,29,20,4,0,6,17,-34.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300125,2024-04-30,IND @ MIL,L,240,92,36,81,0.444,12,38,0.316,8,13,0.615,10,26,36,25,3,3,12,18,-23.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300135,2024-04-30,CLE vs. ORL,W,241,104,38,88,0.432,13,37,0.351,15,19,0.789,8,31,39,23,9,3,10,25,1.0,2023-24
42023,1610612749,MIL,Milwaukee Bucks,0042300125,2024-04-30,MIL vs. IND,W,240,115,44,84,0.524,11,29,0.379,16,20,0.8,11,33,44,23,8,4,10,15,23.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300115,2024-04-30,NYK vs. PHI,L,265,106,40,86,0.465,10,36,0.278,16,24,0.667,6,34,40,19,10,8,14,19,-6.0,2023-24
42023,1610612753,ORL,Orlando Magic,0042300135,2024-04-30,ORL @ CLE,L,240,103,36,78,0.462,9,31,0.29,22,29,0.759,7,36,43,17,5,7,14,17,-1.0,2023-24
42023,1610612755,PHI,Philadelphia 76ers,0042300115,2024-04-30,PHI @ NYK,W,265,112,42,91,0.462,15,39,0.385,13,19,0.684,12,34,46,28,5,7,16,23,6.0,2023-24
42023,1610612748,MIA,Miami Heat,0042300104,2024-04-29,MIA vs. BOS,L,240,88,35,86,0.407,9,33,0.273,9,12,0.75,8,34,42,17,4,3,13,18,-14.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300104,2024-04-29,BOS @ MIA,W,240,102,36,86,0.419,14,37,0.378,16,18,0.889,11,35,46,21,5,3,10,20,14.0,2023-24
42023,1610612749,MIL,Milwaukee Bucks,0042300124,2024-04-28,MIL @ IND,L,239,113,46,90,0.511,12,33,0.364,9,14,0.643,7,35,42,26,5,4,9,18,-13.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300114,2024-04-28,NYK @ PHI,W,241,97,37,86,0.43,7,27,0.259,16,26,0.615,15,37,52,19,1,11,12,19,5.0,2023-24
42023,1610612755,PHI,Philadelphia 76ers,0042300114,2024-04-28,PHI vs. NYK,L,240,92,29,82,0.354,9,33,0.273,25,29,0.862,9,33,42,23,5,5,8,24,-5.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300124,2024-04-28,IND vs. MIL,W,242,126,46,89,0.517,22,43,0.512,12,18,0.667,5,33,38,33,5,6,7,18,13.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300103,2024-04-27,BOS @ MIA,W,239,104,39,82,0.476,11,37,0.297,15,21,0.714,10,33,43,22,4,6,5,16,20.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300134,2024-04-27,CLE @ ORL,L,241,89,34,72,0.472,4,17,0.235,17,21,0.81,2,27,29,24,10,3,15,20,-23.0,2023-24
42023,1610612748,MIA,Miami Heat,0042300103,2024-04-27,MIA vs. BOS,L,241,84,32,77,0.416,9,28,0.321,11,14,0.786,9,27,36,21,2,2,12,14,-20.0,2023-24
42023,1610612753,ORL,Orlando Magic,0042300134,2024-04-27,ORL vs. CLE,W,240,112,43,77,0.558,12,26,0.462,14,19,0.737,8,35,43,24,7,6,17,19,23.0,2023-24
42023,1610612749,MIL,Milwaukee Bucks,0042300123,2024-04-26,MIL @ IND,L,264,118,41,88,0.466,10,31,0.323,26,27,0.963,11,32,43,20,6,2,11,26,-3.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300123,2024-04-26,IND vs. MIL,W,266,121,45,105,0.429,13,49,0.265,18,24,0.75,19,31,50,32,5,4,8,20,3.0,2023-24
42023,1610612753,ORL,Orlando Magic,0042300133,2024-04-25,ORL vs. CLE,W,242,121,47,92,0.511,13,37,0.351,14,16,0.875,14,37,51,24,7,3,8,21,38.0,2023-24
42023,1610612755,PHI,Philadelphia 76ers,0042300113,2024-04-25,PHI vs. NYK,W,240,125,41,75,0.547,15,31,0.484,28,33,0.848,8,28,36,24,6,8,10,18,11.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300113,2024-04-25,NYK @ PHI,L,238,114,44,90,0.489,13,30,0.433,13,19,0.684,11,21,32,27,4,3,9,25,-11.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300133,2024-04-25,CLE @ ORL,L,239,83,32,82,0.39,8,34,0.235,11,13,0.846,5,27,32,24,2,8,14,16,-38.0,2023-24
42023,1610612748,MIA,Miami Heat,0042300102,2024-04-24,MIA @ BOS,W,240,111,37,75,0.493,23,43,0.535,14,18,0.778,4,36,40,25,9,1,12,22,10.0,2023-24
